Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Nick Pope,Goalkeeper,15,5,16,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,311,20.7,0,0,0%,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,43,0,10,9,2,11,88,95
Pedro Porro,Defender,35,5,54,91,69%,1,15,34,80,32,0,199,159,147,26,17,14,0,1,7,1865,53.3,13,198,19%,14,77,3,0,37,1,3,0,3,0,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jarell Quansah,Defender,17,2,15,25,88%,0,0,17,39,20,0,72,76,43,4,45,22,0,1,0,1165,68.5,0,0,0%,1,44,1,0,10,0,2,1,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jesurun Rak-Sakyi,Midfielder,6,0,0,4,25%,0,4,3,1,0,0,6,15,11,4,3,1,0,0,0,47,7.8,0,3,0%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,20%,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,Goalkeeper,6,2,5,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,158,26.3,0,0,0%,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,9,0,0,7,0,3,30,19
Jacob Ramsey,Midfielder,16,0,0,16,50%,0,4,3,7,2,0,42,41,52,8,5,3,0,0,1,310,19.4,1,11,18%,3,0,2,0,7,0,1,0,1,0,0,0.1,0,0,19,5,26%,2,0,0,0,0,0,0,0,0
Marcus Rashford,Forward,33,0,0,19,0%,0,23,4,20,13,0,0,0,0,0,0,0,0,0,2,683,20.7,6,35,0%,0,0,2,0,13,12,7,0,7,0,2,0.2,2,0,62,21,34%,7,0,0,0,0,0,0,0,0
David Raya,Goalkeeper,32,16,24,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,906,28.3,0,0,0%,0,143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,46,1,5,35,4,18,159,96
Tim Ream,Defender,18,3,29,20,45%,0,0,25,59,31,1,79,57,40,6,26,19,0,2,0,1058,58.8,0,1,0%,0,73,2,1,8,1,1,0,0,1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Nathan Redmond,Midfielder,12,0,0,2,50%,0,0,0,3,3,0,6,9,12,4,1,1,0,0,0,68,5.7,1,3,33%,0,3,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Harrison Reed,Midfielder,27,0,0,29,62%,0,2,11,22,8,0,72,53,75,5,10,13,0,0,2,722,26.7,2,19,21%,2,21,6,0,26,0,0,0,0,0,0,0,0,0,9,2,22%,0,0,0,0,0,0,0,0,0
Sergio Reguilón,Defender,25,3,28,58,48%,1,6,21,38,15,0,96,119,88,16,20,29,0,1,4,646,25.8,6,101,26%,1,23,7,1,14,4,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
